A_ID (user getting reply) , B_ID (user that is replying)
15480566,1475640014675628041
1390730692208873480,259963995
29447428,121732143
269229726,1349169991724093440
707231479047315456,4480118843
4541535439,246667561
2926204339,761819600568717312
124003770,3258198301
548289031,817770953019183104
548289031,474336882
19739126,1921951394
15480566,866724171304194048
118245138,44335874
1114970489942753280,311314150
1108565574,800262170
15580900,382856144
256957128,21489341
1108565574,1448820035015770116
700637412,2475034094
2768501,1448820035015770116
371544244,531618878
3298944944,531618878
3453306553,90107770
2781906361,1226826354353508355
2768501,1686874152
1296949513366564864,1573800344
29297242,19617541
867211584,1451834814554902532
14836197,734853834300751872
68611923,745699859169165312
2692751172,1360035053464547335
1080844782,1921951394
1729333160,746746178260205569
1926075181,497349753
1439073985422110725,28652375
60606206,528775542
174151902,737585496
728273994,1278236816936710144
76596783,1278236816936710144
490002009,1351956895
1117704370630455296,813314931147816960
29447428,1474852997020758024
479724576,1181305388
57463142,22317663
1426911929319280644,1050196639816671233
463214687,1371591649013288960
56503668,459980306
63942152,79688044
57906313,1454726401328697353
938494109844729856,2264401871
3930472251,1247298726554521601
29447428,130065700
17477864,2856133189
25356462,430620548
3303457302,789203988533026818
3303457302,45591393
3303457302,380105755
580106431,20156605
260059352,360004006
10046442,19842272
3288075858,18366690
341106480,921243130262728704
1471037967926018051,1430989083740868608
1303661260022534145,813314931147816960
77041510,2982005283
198881547,267498657
130120037,78311949
412548718,1201995227285864449
1618718016,2330575099
985523859179925504,1225382429080391680
1001903494389944320,983973752
44523552,28454954
525673730,983722425039769600
878284831,17717593
1073606435580325889,875612784863531008
1099332883,2876041031
22187085,147649467
29769998,23452847
316546071,299273962
