hashtag_H	 cluster_C_leader_user_id	 relative_frequency_H_C	 frequency_H_in_C	 frequency_H_overall	 count_H_in_C	 count_tweets_in_C	 count_H_entire_dataset	 count_tweets_entire_dataset
domicrom	 1479025309596872704	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
domicron	 1478951336238469121	 1.15699558173784977937	 .00147275405007363770	 .00127291242362525458	 1	 679	 5	 3928
donetsk	 1502994468898840579	 2.89248895434462445980	 .00147275405007363770	 .00050916496945010183	 1	 679	 2	 3928
donothingdoug	 1495482201366056969	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
dontlookup	 1514270383985278977	 5.78497790868924891961	 .00294550810014727540	 .00050916496945010183	 2	 679	 2	 3928
dowehaveaproblem	 1490102122259488770	 3.85665193912616597165	 .00294550810014727540	 .00076374745417515274	 2	 679	 3	 3928
downingstreetparties	 1485667948257857539	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
dutton	 1501043126265589765	 2.89248895434462445980	 .00147275405007363770	 .00050916496945010183	 1	 679	 2	 3928
election2022	 1516644379942789120	 2.89248895434462445980	 .00294550810014727540	 .00101832993890020366	 2	 679	 4	 3928
election22	 1501061983273054208	 5.78497790868924891961	 .00294550810014727540	 .00050916496945010183	 2	 679	 2	 3928
emeraldcity	 1513144652689551373	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
endemic	 1486334281416908804	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
engineering	 1507625794927235074	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
englishriviera	 1495015821936103424	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
epsteinbarrvirus	 1481754751570268164	 5.78497790868924903323	 .00147275405007363770	 .00025458248472505091	 1	 679	 1	 3928
ethics	 1507625794927235074	 2.89248895434462445980	 .00147275405007363770	 .00050916496945010183	 1	 679	 2	 3928
