hashtag_H, cluster_C_leader_user_id, relative_frequency_H_C, frequency_H_in_C, frequency_H_overall, count_H_in_C, count_tweets_in_C, count_H_entire_dataset, count_tweets_entire_dataset
adversechildhoodexperiences, 1687521895, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
aeroflot, 1308267623327518725, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
aerosol, 1475643712596168706, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
aerosols, 1475643712596168706, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
aerovironment, 59028892, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
afdp, 1309237180418666499, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
afghan, 77726331, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
afghanistan, 2332033299, .71655730720068172401, .00028405056099985797, .00039641011004344654, 12, 42246, 25, 63066
afghanstan, 45379403, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
aflcia, 45379403, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
afl_cio, 45379403, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
afp, 838381908656603144, .74641386166737679233, .00004734176016664299, .00006342561760695144, 2, 42246, 4, 63066
afpac, 192374137, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
afpgraphics, 3231054096, 1.49282772333475361664, .00023670880083321497, .00015856404401737861, 10, 42246, 10, 63066
africa, 2800413166, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
africansinukraine, 881623250, 1.19426217866780299386, .00009468352033328599, .00007928202200868930, 4, 42246, 5, 63066
afrin, 997262774, .74641386166737663466, .00002367088008332149, .00003171280880347572, 1, 42246, 2, 63066
aft, 45379403, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
afterlife, 18218403, 1.04497940633432753795, .00016569616058325048, .00015856404401737861, 7, 42246, 10, 63066
afterlife3, 29447428, 1.11962079250106517906, .00014202528049992898, .00012685123521390289, 6, 42246, 8, 63066
afternoonbriefing, 1496792408792903684, .99521848222316905694, .00018936704066657198, .00019027685282085434, 8, 42246, 12, 63066
againstrussianlies, 981436419087523840, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
againstthewall, 2530758806, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
agedcare, 2886667320, .54284644484900129859, .00009468352033328599, .00017442044841911648, 4, 42246, 11, 63066
agedcarecrisis, 2574271742, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
ageing, 853523328, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
agenda2030, 1387010761994682371, 1.49282772333475358466, .00004734176016664299, .00003171280880347572, 2, 42246, 2, 63066
agentsofshield, 1387010761994682371, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
age_of_deities, 1387010761994682371, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
ahmaudarbery, 614600545, 1.03349611615482942577, .00021303792074989348, .00020613325722259220, 9, 42246, 13, 63066
airandground, 614600545, 1.49282772333475326933, .00002367088008332149, .00001585640440173786, 1, 42246, 1, 63066
airbnb, 853523328, .99521848222316905644, .00004734176016664299, .00004756921320521358, 2, 42246, 3, 63066
airborne, 3040987923, 1.19426217866780299386, .00009468352033328599, .00007928202200868930, 4, 42246, 5, 63066
aircanada, 192374137, 1.49282772333475368977, .00007101264024996449, .00004756921320521358, 3, 42246, 3, 63066
