hashtag_H	 cluster_C_leader_user_id	 relative_frequency_H_C	 frequency_H_in_C	 frequency_H_overall	 count_H_in_C	 count_tweets_in_C	 count_H_entire_dataset	 count_tweets_entire_dataset
a5465788	 1060440219097423872	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
a5465929	 1060440219097423872	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
a5468862	 17531651	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
a5469496	 1060440219097423872	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
a5473816	 17531651	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
a5473817	 17531651	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
a760068	 1060440219097423872	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
a760377	 1060440219097423872	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
a760534	 1060440219097423872	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
a762176	 1060440219097423872	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
a762275	 1060440219097423872	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
aaaaaaputin	 870244616003403781	 1.70402486910994768227	 .00032722513089005235	 .00019203072491598655	 2	 6112	 2	 10415
aaaai2022	 1308267623327518725	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
aanes	 997262774	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
aaronrodgers	 244954523	 1.13601657940663176846	 .00032722513089005235	 .00028804608737397983	 2	 6112	 3	 10415
ab1400	 2530758806	 1.70402486910994768227	 .00032722513089005235	 .00019203072491598655	 2	 6112	 2	 10415
abba	 29447428	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
abbottelementary	 838381908656603144	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
abbottfailedtexas	 1155192156	 1.36321989528795812405	 .00065445026178010471	 .00048007681228996639	 4	 6112	 5	 10415
abbottfailedtexasagain	 244954523	 1.70402486910994768227	 .00032722513089005235	 .00019203072491598655	 2	 6112	 2	 10415
abbotttax	 1155192156	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
abbvie	 870244616003403781	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
abc	 2886667320	 1.08437946216087577608	 .00114528795811518324	 .00105616898703792606	 7	 6112	 11	 10415
abc2020	 614600545	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
abc730	 2886667320	 .85201243455497382432	 .00229057591623036649	 .00268843014882381180	 14	 6112	 28	 10415
abcbreakfastnews	 2574271742	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
abcnews	 2574271742	 .56800828970331587687	 .00049083769633507853	 .00086413826212193951	 3	 6112	 9	 10415
abcovid19	 118166719	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
abcrn	 3453306553	 1.70402486910994768227	 .00032722513089005235	 .00019203072491598655	 2	 6112	 2	 10415
abcyourbiasisshowing	 1496792408792903684	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
abecon	 832019161454817280	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
abed	 18218403	 1.03138347340865252277	 .00376308900523560209	 .00364858377340374459	 23	 6112	 38	 10415
aberdeen	 1387010761994682371	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
aberdeenshire	 4757894056	 1.70402486910994771893	 .00016361256544502617	 .00009601536245799327	 1	 6112	 1	 10415
abfuture	 18218403	 1.70402486910994768227	 .00032722513089005235	 .00019203072491598655	 2	 6112	 2	 10415
abhealth	 18218403	 1.61882362565445026779	 .00310863874345549738	 .00192030724915986557	 19	 6112	 20	 10415
ableg	 4213849704	 1.33887668287210172028	 .02339659685863874345	 .01747479596735477676	 143	 6112	 182	 10415
